GEO_ID,NAME,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher
0500000US37001,ALAM,111693,97721,28301
0500000US37003,ALEX,26895,22429,3826
0500000US37005,ALLE,8516,6706,1768
0500000US37007,ANSO,17637,14295,1952
0500000US37009,ASHE,20583,17770,4124
0500000US37011,AVER,13404,11493,3171
0500000US37013,BEAU,34348,30344,7113
0500000US37015,BERT,14294,11266,2074
0500000US37017,BLAD,23913,19891,4344
0500000US37019,BRUN,109023,100301,32133
0500000US37021,BUNC,191656,175720,79322
0500000US37023,BURK,65944,54360,11037
0500000US37025,CABA,140582,127349,47123
0500000US37027,CALD,59145,48171,9369
0500000US37029,CAMD,7659,6693,1524
0500000US37031,CART,52687,48541,15036
0500000US37033,CASW,16498,13553,2609
0500000US37035,CATA,110092,95173,25387
0500000US37037,CHAT,53820,47967,23516
0500000US37039,CHER,21982,19524,4805
0500000US37041,CHOW,10635,8918,2307
0500000US37043,CLAY,8681,7646,2347
0500000US37045,CLEV,67371,57792,13135
0500000US37047,COLU,39312,33015,5068
0500000US37049,CRAV,67731,60219,16899
0500000US37051,CUMB,207671,190091,53183
0500000US37053,CURR,19466,17690,4913
0500000US37055,DARE,27533,26003,10558
0500000US37057,DAVS,117475,99790,22226
0500000US37059,DAVE,30457,27343,7397
0500000US37061,DUPL,40087,31536,5838
0500000US37063,DURH,219286,196496,108453
0500000US37065,EDGE,36281,30121,5879
0500000US37067,FORS,254488,226593,86341
0500000US37069,FRAN,47485,41096,10046
0500000US37071,GAST,154096,131858,33981
0500000US37073,GATE,8388,7460,1045
0500000US37075,GRAH,6161,5054,819
0500000US37077,GRAN,42450,36532,10103
0500000US37079,GREE,15039,11479,1561
0500000US37081,GUIL,356145,319109,130366
0500000US37083,HALI,36048,28530,5291
0500000US37085,HARN,87575,77145,19342
0500000US37087,HAYW,46602,41247,12970
0500000US37089,HEND,86747,79320,27352
0500000US37091,HERT,16583,13939,2654
0500000US37093,HOKE,35253,30843,6472
0500000US37095,HYDE,3843,3014,402
0500000US37097,IRED,123529,111584,36698
0500000US37099,JACK,28028,24664,7968
0500000US37101,JOHN,135596,119613,32484
0500000US37103,JONE,7159,5890,1017
0500000US37105,LEE,41399,35235,8483
0500000US37107,LENO,39290,31873,6097
0500000US37109,LINC,60879,54055,14036
0500000US37111,MCDO,33214,28093,6109
0500000US37113,MACO,26583,23667,6349
0500000US37115,MADI,15603,13848,4694
0500000US37117,MART,16421,13668,2482
0500000US37119,MECK,738751,668653,338590
0500000US37121,MITC,11155,9628,2464
0500000US37123,MONT,19053,15562,3108
0500000US37125,MOOR,71976,66488,27871
0500000US37127,NASH,65369,56458,13842
0500000US37129,NEWH,159195,148417,67230
0500000US37131,NORT,14980,12139,2263
0500000US37133,ONSL,106528,98350,25116
0500000US37135,ORAN,91282,84901,55545
0500000US37137,PAML,9995,8861,2152
0500000US37139,PASQ,27220,24069,6342
0500000US37141,PEND,43548,38654,12616
0500000US37143,PERQ,10183,8818,1992
0500000US37145,PERS,28286,24942,4444
0500000US37147,PITT,110155,98023,35349
0500000US37149,POLK,16106,14752,5265
0500000US37151,RAND,99703,82710,16071
0500000US37153,RICH,30577,25346,5443
0500000US37155,ROBE,85278,66204,11970
0500000US37157,ROCK,65812,54785,10019
0500000US37159,ROWA,97428,83739,19334
0500000US37161,RUTH,48154,40880,9247
0500000US37163,SAMP,42481,34400,6132
0500000US37165,SCOT,23648,19127,3665
0500000US37167,STAN,43551,37663,7679
0500000US37169,STOK,33691,28684,4503
0500000US37171,SURR,50955,40696,9103
0500000US37173,SWAI,9777,8149,2018
0500000US37175,TRAN,26044,23695,8811
0500000US37177,TYRR,3050,2336,322
0500000US37179,UNIO,151085,135354,54397
0500000US37181,VANC,30176,25068,5288
0500000US37183,WAKE,731587,683635,395000
0500000US37185,WARR,14505,12156,2224
0500000US37187,WASH,8240,6922,1058
0500000US37189,WATA,32681,29617,13965
0500000US37191,WAYN,82408,70480,16330
0500000US37193,WILK,49260,40161,7888
0500000US37195,WILS,55686,45342,11154
0500000US37197,YADK,26924,22809,3475
0500000US37199,YANC,13329,11548,2706
