Rainfall (inches),County,
60.84,TRANSYLVANIA,
58.07,CLAY,
56.46,MACON,
54.55,CHEROKEE,
54.28,NEW HANOVER,
53.98,CALDWELL,
53.45,GRAHAM,
53.29,CARTERET,
52.81,PENDER,
52.67,JACKSON,
52.15,BRUNSWICK,
52.09,ALEXANDER,
51.92,DARE,
51.49,WILKES,
51.46,PAMLICO,
51.37,RUTHERFORD,
51.1,WATAUGA,
51.03,ONSLOW,
50.99,HYDE,
50.67,SWAIN,
50.56,BURKE,
50.29,JONES,
50.17,CRAVEN,
49.97,COLUMBUS,
49.93,HAYWOOD,
49.61,TYRRELL,
49.31,MCDOWELL,
49.14,PASQUOTANK,
49.13,BEAUFORT,
49.12,CAMDEN,
49.02,PERQUIMANS,
48.78,WASHINGTON,
48.76,BLADEN,
48.73,CHOWAN,
48.67,CURRITUCK,
48.48,GATES,
48.3,CLEVELAND,
47.99,POLK,
47.77,STOKES,
47.75,DUPLIN,
47.4,LENOIR,
47.32,IREDELL,
47,SAMPSON,
46.94,ROCKINGHAM,
46.9,FORSYTH,
46.47,AVERY,
46.19,HARNETT,
46.16,RICHMOND,
46.09,HERTFORD,
46.07,CATAWBA,
46.06,WAYNE,
45.97,LEE,
45.96,LINCOLN,
45.95,MARTIN,
45.91,WAKE,
45.9,HOKE,
45.9,BERTIE,
45.88,GREENE,
45.86,GASTON,
45.81,PITT,
45.76,MOORE,
45.76,WILSON,
45.65,NORTHAMPTON,
45.64,ROBESON,
45.63,ANSON,
45.62,CUMBERLAND,
45.61,SCOTLAND,
45.53,HALIFAX,
45.52,JOHNSTON,
45.46,DURHAM,
45.41,DAVIE,
45.39,CHATHAM,
45.35,FRANKLIN,
45.34,YADKIN,
45.33,ASHE,
45.24,GUILFORD,
45.12,NASH,
45.12,EDGECOMBE,
45.09,GRANVILLE,
44.86,CASWELL,
44.69,PERSON,
44.52,ORANGE,
44.42,ALAMANCE,
44.39,UNION,
44.26,SURRY,
44.18,MONTGOMERY,
44.01,VANCE,
43.91,RANDOLPH,
43.82,WARREN,
43.77,DAVIDSON,
43.75,MECKLENBURG,
43.75,MITCHELL,
43.74,STANLY,
43.57,CABARRUS,
43.5,YANCEY,
43.28,MADISON,
43.17,ROWAN,
42.68,HENDERSON,
42.58,ALLEGHANY,
40.92,BUNCOMBE,
